"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-21","0.00","0.0","0.0","106","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-22","0.00","0.0","0.0","107","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-23","0.00","0.0","0.0","108","87"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-24","0.00","0.0","0.0","103","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-25","0.00","0.0","0.0","101","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-26","0.00","0.0","0.0","99","77"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-27","0.00","0.0","0.0","103","75"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-28","0.00","0.0","0.0","105","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-29","0.00","0.0","0.0","101","81"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-30","0.00","0.0","0.0","100","80"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-05-31","0.00","0.0","0.0","102","76"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-01","0.00","0.0","0.0","103","80"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-02","0.00","0.0","0.0","106","80"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-03","0.00","0.0","0.0","109","81"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-04","0.00","0.0","0.0","112","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-05","0.01","0.0","0.0","108","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-06","0.00","0.0","0.0","100","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-07","0.08","0.0","0.0","88","67"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-08","0.00","0.0","0.0","100","70"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-09","0.00","0.0","0.0","103","81"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-10","0.00","0.0","0.0","104","85"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-11","0.04","0.0","0.0","101","79"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-12","0.00","0.0","0.0","99","75"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-13","0.00","0.0","0.0","105","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-14","0.00","0.0","0.0","106","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-15","0.00","0.0","0.0","111","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-16","0.00","0.0","0.0","105","80"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-17","0.00","0.0","0.0","112","86"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-18","0.00","0.0","0.0","113","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-19","0.00","0.0","0.0","104","86"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-20","0.00","0.0","0.0","101","75"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-21","0.00","0.0","0.0","102","77"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-22","0.00","0.0","0.0","103","81"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-23","0.00","0.0","0.0","99","76"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-24","0.00","0.0","0.0","106","79"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-25","0.00","0.0","0.0","107","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-26","0.00","0.0","0.0","105","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-27","0.00","0.0","0.0","109","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-28","0.00","0.0","0.0","108","86"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-29","0.00","0.0","0.0","114","88"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-06-30","0.00","0.0","0.0","118","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-01","0.00","0.0","0.0","121","91"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-02","0.00","0.0","0.0","126","88"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-03","0.00","0.0","0.0","122","98"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-04","0.00","0.0","0.0","114","92"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-05","0.00","0.0","0.0","115","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-06","0.00","0.0","0.0","114","92"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-07","0.00","0.0","0.0","112","89"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-08","0.00","0.0",,"114","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-09","0.00","0.0","0.0","112","91"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-10","0.00","0.0","0.0","113","89"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-11","0.00","0.0","0.0","118","92"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2023-07-12","0.00","0.0","0.0","118","93"
